ID,Eigenvector_Centrality,Essentiality
31903,0.1024285001969307,0
31745,0.085767517514373,0
31107,0.0848531619532652,1
35368,0.0781125658440961,0
33129,0.0752352337878381,1
32343,0.0706110890164105,0
31111,0.0654868356827471,1
35627,0.0619117080937482,0
35923,0.0594631053726966,0
32859,0.058955540075249,1
35876,0.0574780713776135,0
33076,0.0559322760158133,0
31238,0.0555273898942879,0
31052,0.0535747855175636,0
32940,0.0531472877300678,0
33632,0.0527311145052617,0
31536,0.0522203586290276,0
36901,0.0520704204717596,0
35364,0.051646986496655,0
34400,0.0504589602220498,0
33832,0.0503640698329134,1
31152,0.0495898009165123,1
36869,0.0487979908246721,1
31984,0.0478887214198993,0
36334,0.0474045112382743,1
36388,0.0466857603703638,0
31331,0.0465992506807407,0
31676,0.0465662600308175,0
32598,0.0464557806134411,1
33135,0.0464294787639507,1
36828,0.0458910301610206,0
33830,0.0455428465196416,0
36695,0.0447035828311699,1
35292,0.0445990790231173,0
31315,0.044593942725916,0
32813,0.0443221554811917,1
33953,0.0434880493982837,0
31937,0.043484615167229,1
34649,0.0434813209469468,1
36110,0.0433415616336122,0
34321,0.0433092162688304,0
36907,0.0431045237354798,1
36461,0.0430605421265308,0
31584,0.0429559304593243,0
35451,0.0428625651250807,0
31529,0.0428332255738796,0
35511,0.0427346276665509,0
35759,0.0427005185129409,0
32345,0.0426502021320995,0
34635,0.0424808894299727,1
35676,0.0423406919968271,0
35651,0.0420477349793746,1
30988,0.0419596677380091,0
36467,0.0418346782104969,1
31987,0.0414961658933771,0
32926,0.041202843369514,0
33997,0.041202207711405,0
32236,0.0409881779202523,1
36125,0.0409581700403392,0
32210,0.0407150177288417,0
31753,0.0404651098419122,0
33335,0.0403650885736999,0
35584,0.0402239318364819,0
33080,0.040148933359223,0
32225,0.0400761799919763,1
31358,0.0400087857116192,0
32437,0.0399893121478495,0
34908,0.0399494417746523,0
32035,0.0398706289211204,0
32449,0.0398461268787048,0
35726,0.0398118761972087,0
34596,0.0396263428233663,0
32106,0.0392820494470255,1
33128,0.0391842040506332,1
34665,0.0390162191075049,0
33773,0.0389785627578518,1
36634,0.0389048667240562,0
32737,0.0388026226728016,0
35596,0.0387968665696795,0
35653,0.0387658692110565,1
35128,0.0387351291943723,0
34404,0.0385967823114978,0
33348,0.0385466361563765,0
32489,0.0385212689075159,0
33472,0.0384906163794096,1
32629,0.0383402537296117,0
32895,0.0382926742939103,1
35690,0.0382704913655755,0
36123,0.0381805849510764,0
33226,0.0378320129865824,0
32257,0.0377289322772281,0
33087,0.0373898633841179,0
33200,0.0373207465977095,1
32199,0.0373055526489916,1
31965,0.0371517919810621,1
32711,0.0370034389844497,0
31480,0.0367081289934828,1
35487,0.0365201683958066,0
32663,0.0364039162290702,1
31921,0.036335830056606,1
31469,0.0362936615809093,0
33524,0.0362783187625209,1
35762,0.0362555897907244,1
33662,0.0362232654885086,0
34681,0.0361833490586872,0
31562,0.0361630091965589,1
36856,0.0359663288705246,0
33360,0.0355877297508047,1
32391,0.0355781582041099,0
32296,0.0355694210646818,0
33115,0.0355456240119026,1
32048,0.0355367971893946,0
33728,0.0354549787214552,1
33181,0.0352831772156561,0
35681,0.0351545655357672,0
34517,0.0350256234984791,1
36091,0.0349674816577344,0
33952,0.03494802773639,0
35375,0.0349102997229973,1
32493,0.0348972943669748,1
