ID,Betweenness_Centrality,Essentiality
31903,0.0463967432915027,0
33129,0.0392187905811529,1
31745,0.0365356278548364,0
36930,0.0316757065441511,0
36219,0.0214467614278781,0
35627,0.0178001817813974,0
32157,0.0168721877054665,0
35368,0.0152273277546517,0
31238,0.0152055582759844,0
32940,0.0151101853300711,0
31107,0.0140180137871615,1
35923,0.0129160407891088,0
31557,0.01211815851414,1
32343,0.0117476180808755,0
33076,0.0108509839867149,0
32957,0.0088571248189125,0
32665,0.0086150706302277,0
32398,0.0076660507830353,1
34596,0.0075964232157227,0
31152,0.0071257154110255,1
35584,0.0070868305070816,0
36869,0.006999376854836,1
32859,0.0069797214066783,1
31111,0.0066715967113627,1
31215,0.0065833065295308,0
35364,0.0063517735284408,0
35993,0.0054249294283889,1
32489,0.0050558686579036,0
32529,0.0043750752641177,0
33927,0.0040792212967195,0
35256,0.0040715002443332,0
31984,0.0038889025418412,0
33832,0.0036755944353462,1
32711,0.0035976592445423,0
33797,0.0035856374948135,1
33843,0.0034873061589556,0
31536,0.0034490249647639,0
33830,0.0033345745618094,0
30946,0.0033106223796418,0
36388,0.0032987302960122,0
33189,0.00320641130785,0
31480,0.0031493578808759,1
33472,0.0030932509980007,1
33524,0.0030372797204101,1
31584,0.0029856165955724,0
34084,0.0029654311161001,1
36461,0.0028480572537905,0
32625,0.0028325591597278,0
31052,0.0027897440288921,0
36634,0.0027679076770361,0
35644,0.0027589330253594,1
35876,0.0027366757725195,0
34839,0.0027309361368005,0
34400,0.0026897969979255,0
31786,0.0026483015019347,0
34179,0.002632705087294,0
34665,0.0026316256995395,0
36901,0.0026181795704677,0
33773,0.0025998966114678,1
30988,0.0025898249947902,0
36334,0.0025094097832999,1
36695,0.0024889301019787,1
35511,0.0024873761882513,0
34349,0.0024698331268849,0
31921,0.0024659213517673,1
36110,0.0024626218588987,0
32813,0.0024434024373723,1
32041,0.0024340302674802,1
35796,0.0024277063941904,0
35810,0.0023951212463729,0
36095,0.0023833863976393,0
36147,0.0023691985156663,0
32345,0.0023256345251693,0
31331,0.0022964941178143,0
32598,0.0022917722242146,1
32765,0.00223527659302,0
32225,0.00220311568932,1
32236,0.0021929574859241,1
36877,0.0021425085295442,1
33953,0.0021058425668533,0
35588,0.0020460793073303,1
32449,0.0020324668351296,0
33822,0.0020168582801836,1
33238,0.0020067696122464,1
35292,0.0020043438599043,0
36830,0.0020038671727499,0
35651,0.0019484120475225,1
36907,0.0019304867575264,1
35455,0.0019131700868312,0
34404,0.0019062827431567,0
33348,0.0018982421979752,0
35451,0.001881746451751,0
31315,0.0018717520903585,0
34635,0.0018707829928731,1
33074,0.0018207755711772,1
31235,0.0018122520804801,1
31937,0.0018013058238608,1
32149,0.0017952914484061,0
32710,0.0017605830418971,1
32276,0.0017548805936879,1
31882,0.0017191381265802,0
35549,0.0017161187111422,0
34085,0.0016885496360876,0
32629,0.0016726457332278,0
33135,0.0016556887323905,1
32737,0.0016413184171071,0
32926,0.0016388719222416,0
35759,0.0016258324604564,0
33335,0.0016211500470054,0
35596,0.0016094215355023,0
33801,0.0016007660879885,0
31907,0.0016001093846879,0
33136,0.001578945907205,0
34321,0.0015748979007621,0
32100,0.001573163190397,1
36421,0.001571774934582,0
31676,0.0015692167780587,0
35653,0.0015586399096249,1
33632,0.0015494625674345,0
34681,0.0015441390311644,0
36540,0.0015433974547109,1
34513,0.0015267289958863,1
35695,0.0015251240809441,1
34576,0.001524485784915,1
31638,0.0014993221240431,1
32023,0.0014925891685415,0
35540,0.0014784576086742,0
31529,0.0014748367524968,0
31033,0.0014727003315776,0
32364,0.001443571410903,1
35765,0.0014353621433183,0
33073,0.0014342950827366,0
31352,0.0014168603641998,0
36338,0.0014162927336554,1
34711,0.0014082683924999,1
33080,0.001400221751857,0
31177,0.001388889859977,0
32895,0.0013844522558382,1
33997,0.0013734884269377,0
32561,0.0013684696514932,1
33340,0.0013647027471998,0
35137,0.0013560227951153,0
35842,0.0013253759695766,1
33814,0.0013246546665938,1
32048,0.0013159403686752,0
32210,0.0013126785640345,0
35171,0.0013089396568189,1
34309,0.0013064389392259,0
33726,0.0012942158382344,1
34293,0.0012829480195663,0
36467,0.0012792165499855,1
31879,0.0012748254557262,0
36157,0.0012729712800281,1
35101,0.0012676677184678,1
32219,0.0012624391384332,1
32106,0.0012586413052212,1
32199,0.001257840435719,1
32044,0.0012517517886792,1
